ALCOHOLTIME,POLICE_ATTEND,SPEED_ZONE,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,LONGITUDE,LATITUDE,class
0.0,0.0,100.0,0.0,1.0,0.0,2.0,3.0,0.0,147.02211,-36.27452,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,145.23945,-38.07766,1
0.0,0.0,60.0,0.0,0.0,2.0,1.0,1.0,1.0,144.35867,-38.07379,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,147.00189,-36.73233,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,143.97866,-38.02125,1
0.0,0.0,80.0,0.0,0.0,2.0,0.0,0.0,2.0,142.00935,-37.75768,3
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,143.16901,-37.69848,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,144.02901,-38.48184,3
0.0,0.0,80.0,0.0,1.0,1.0,1.0,2.0,1.0,144.02542,-38.48059,3
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,145.46937,-38.06758,3
0.0,0.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,144.2047,-36.6905,1
0.0,0.0,80.0,0.0,0.0,1.0,2.0,1.0,2.0,145.3796,-37.7211,3
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,144.91625,-38.36505,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,145.06603,-37.87357,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.01239,-37.79192,1
0.0,0.0,50.0,0.0,0.0,1.0,1.0,0.0,2.0,146.31546,-36.35136,2
